,APMC,Commodity,2014,2015,2016
99,Akkalkuwa,maize,0,1405,1405
100,Akkalkuwa,sorgum(jawar),0,1410,1410
101,Akkalkuwa,wheat(husked),0,1500,1500
102,Akkolkot,bajri,1429,1611,1611
103,Akkolkot,black gram,6598,11550,11550
104,Akkolkot,gram,3176,5111,5111
105,Akkolkot,green gram,7433,9201,9201
106,Akkolkot,maize,1201,1600,1600
107,Akkolkot,pigeon pea (tur),5363,13200,13200
108,Akkolkot,wheat(husked),1481,2001,2001
109,Akkolkot,wheat(unhusked),3876,4045,4045
110,Akluj,bajri,1638,1458,1458
111,Akluj,banana,1200,845,845
112,Akluj,bitter gourd,3800,3472,3472
113,Akluj,bor,1921,2188,2188
114,Akluj,brinjal,3189,2084,2084
115,Akluj,cabbage,886,942,942
116,Akluj,carrot,2008,3500,3500
117,Akluj,chikoo,2907,3533,3533
118,Akluj,chillies(red),3569,3900,3900
119,Akluj,coriander  ,12,6,6
120,Akluj,garlic,6000,11816,11816
121,Akluj,gram,2427,4067,4067
122,Akluj,ground nut pods (dry),3617,4675,4675
123,Akluj,ladies finger,3483,3753,3753
124,Akluj,lemon,0,2,2
125,Akluj,maize,1445,1551,1551
126,Akluj,onion,1936,3421,3421
127,Akluj,potato,2679,1636,1636
128,Akluj,shevga,4900,5833,5833
129,Akluj,sorgum(jawar),2126,2005,2005
130,Akluj,tomato,2157,3036,3036
131,Akluj,water melon,1280,940,940
132,Akluj,wheat(husked),1613,1869,1869
133,Akola,bajri,0,1825,1825
134,Akola,batbati,0,0,0
135,Akola,black gram,5583,11434,11434
136,Akola,gram,3010,5280,5280
137,Akola,green gram,8173,8908,8908
138,Akola,maize,0,1500,1500
139,Akola,pigeon pea (tur),5330,10971,10971
140,Akola,safflower,0,2442,2442
141,Akola,sesamum,0,7000,7000
142,Akola,sorgum(jawar),1672,1596,1596
143,Akola,soybean,3271,3794,3794
144,Akola,sunflower,0,5200,5200
145,Akola,wheat(husked),1682,1880,1880
146,Akole,bajri,1750,1850,1850
147,Akole,bhagar-vari,3000,3000,3000
148,Akole,gram,3300,4400,4400
149,Akole,maize,1400,1600,1600
150,Akole,onion,2222,2802,2802
151,Akole,paddy-unhusked,1900,2067,2067
152,Akole,soybean,3200,3775,3775
153,Akole,tomato,867,1624,1624
154,Akole,wheat(husked),1900,2025,2025
155,Akot,black gram,0,11136,11136
156,Akot,cotton,0,4560,4560
157,Akot,gram,0,5004,5004
158,Akot,green gram,0,8726,8726
159,Akot,ground nut pods (dry),0,5580,5580
160,Akot,maize,0,1378,1378
161,Akot,pigeon pea (tur),0,9400,9400
162,Akot,sesamum,0,6746,6746
163,Akot,sorgum(jawar),0,1563,1563
164,Akot,soybean,0,3616,3616
165,Akot,sunflower,0,3385,3385
166,Akot,thymol-lovage,0,11511,11511
167,Akot,wheat(husked),0,1550,1550
168,Alibag,paddy-unhusked,0,1792,1792
169,Alibag,rice(paddy-hus),1700,4000,4000
170,Amalner,bajri,1390,1516,1516
171,Amalner,black gram,4830,9700,9700
172,Amalner,coriander (dry),8000,9375,9375
173,Amalner,cowpea,0,4500,4500
174,Amalner,gram,2525,4251,4251
175,Amalner,green gram,8500,8261,8261
176,Amalner,ground nut pods (dry),0,0,0
177,Amalner,maize,1210,1500,1500
178,Amalner,pigeon pea (tur),3500,7736,7736
179,Amalner,sesamum,0,0,0
180,Amalner,sorgum(jawar),1690,1580,1580
181,Amalner,soybean,3300,3529,3529
182,Amalner,wheat(husked),1841,1810,1810
183,Amarawati-Fruit And Vegetables,apple,0,0,0
184,Amarawati-Fruit And Vegetables,beet root,0,0,0
185,Amarawati-Fruit And Vegetables,bitter gourd,0,0,0
186,Amarawati-Fruit And Vegetables,brinjal,0,0,0
187,Amarawati-Fruit And Vegetables,cabbage,0,0,0
188,Amarawati-Fruit And Vegetables,carrot,0,0,0
189,Amarawati-Fruit And Vegetables,chikoo,0,0,0
190,Amarawati-Fruit And Vegetables,coriander  ,0,0,0
191,Amarawati-Fruit And Vegetables,cucumber,0,0,0
192,Amarawati-Fruit And Vegetables,dhemse,0,0,0
193,Amarawati-Fruit And Vegetables,flower,0,0,0
194,Amarawati-Fruit And Vegetables,garlic,0,0,0
195,Amarawati-Fruit And Vegetables,ginger (fresh),0,0,0
196,Amarawati-Fruit And Vegetables,green chilli,0,0,0
197,Amarawati-Fruit And Vegetables,lemon,0,0,0
198,Amarawati-Fruit And Vegetables,melon,0,0,0
199,Amarawati-Fruit And Vegetables,methi (bhaji),0,0,0
200,Amarawati-Fruit And Vegetables,mosambi,0,0,0
201,Amarawati-Fruit And Vegetables,onion,0,0,0
202,Amarawati-Fruit And Vegetables,orange,0,0,0
203,Amarawati-Fruit And Vegetables,papai,0,0,0
204,Amarawati-Fruit And Vegetables,pomegranate,0,0,0
205,Amarawati-Fruit And Vegetables,potato,0,0,0
206,Amarawati-Fruit And Vegetables,pumpkin,0,0,0
207,Amarawati-Fruit And Vegetables,spinach,0,0,0
208,Amarawati-Fruit And Vegetables,tomato,0,0,0
209,Amarawati,apple,0,6400,6400
210,Amarawati,bajri,0,2096,2096
211,Amarawati,beet root,0,2500,2500
212,Amarawati,bitter gourd,0,3050,3050
213,Amarawati,black gram,5372,10891,10891
214,Amarawati,brinjal,1117,1563,1563
215,Amarawati,cabbage,2631,2267,2267
216,Amarawati,capsicum,0,0,0
217,Amarawati,carrot,0,4314,4314
218,Amarawati,chikoo,0,2500,2500
219,Amarawati,chillies(red),0,10500,10500
220,Amarawati,cluster bean,0,3325,3325
221,Amarawati,coriander  ,0,3625,3625
222,Amarawati,cotton,0,4445,4445
223,Amarawati,cucumber,0,1675,1675
224,Amarawati,dhemse,0,2625,2625
225,Amarawati,flower,0,2388,2388
226,Amarawati,garlic,3692,13667,13667
227,Amarawati,ginger (fresh),3625,4500,4500
228,Amarawati,gram,2888,5006,5006
229,Amarawati,green chilli,0,3500,3500
230,Amarawati,green gram,8200,8584,8584
231,Amarawati,ground nut pods (dry),3661,5597,5597
232,Amarawati,guava,0,1500,1500
233,Amarawati,kharbuj,0,0,0
234,Amarawati,ladies finger,0,3250,3250
235,Amarawati,lemon,0,2300,2300
236,Amarawati,linseed,0,5579,5579
237,Amarawati,maize(corn.),0,650,650
238,Amarawati,maize,1320,1381,1381
239,Amarawati,math (bhaji),1545,2763,2763
240,Amarawati,melon,0,0,0
241,Amarawati,mosambi,2231,2877,2877
242,Amarawati,onion,1779,4258,4258
243,Amarawati,orange,1300,1939,1939
244,Amarawati,papai,1971,1500,1500
245,Amarawati,pigeon pea (tur),5225,11791,11791
246,Amarawati,pomegranate,0,6250,6250
247,Amarawati,potato,1642,1230,1230
248,Amarawati,pumpkin,0,1550,1550
249,Amarawati,sesamum,0,10531,10531
250,Amarawati,sorgum(jawar),1850,1886,1886
251,Amarawati,soybean,3243,3744,3744
252,Amarawati,spinach,0,2144,2144
253,Amarawati,sunflower,0,6650,6650
254,Amarawati,tomato,1436,1726,1726
255,Amarawati,wheat(husked),1925,1935,1935
256,Ambad(Vadi Godri),bajri,1619,1702,1702
257,Ambad(Vadi Godri),gram,0,4237,4237
258,Ambad(Vadi Godri),maize,1174,1611,1611
259,Ambad(Vadi Godri),pigeon pea (tur),5350,8767,8767
260,Ambad(Vadi Godri),sorgum(jawar),2431,2025,2025
261,Ambad(Vadi Godri),soybean,3270,3510,3510
262,Ambad(Vadi Godri),wheat(husked),1741,2964,2964
263,Ambejogai,bajri,1616,1645,1645
264,Ambejogai,black gram,5392,11645,11645
265,Ambejogai,gram,2785,6464,6464
266,Ambejogai,green gram,7935,8800,8800
267,Ambejogai,pigeon pea (tur),5328,10145,10145
268,Ambejogai,safflower,2400,2498,2498
269,Ambejogai,sesamum,10440,9242,9242
270,Ambejogai,sorgum(jawar),2344,2772,2772
271,Ambejogai,soybean,3392,3908,3908
272,Ambejogai,sunflower,3098,3210,3210
273,Ambejogai,wheat(husked),1855,2457,2457
274,Anajngaon Surji,banana,1175,900,900
275,Anajngaon Surji,black gram,5192,10158,10158
276,Anajngaon Surji,chillies(red),9750,40500,40500
277,Anajngaon Surji,gram,2898,4941,4941
278,Anajngaon Surji,green gram,7869,9000,9000
279,Anajngaon Surji,pigeon pea (tur),5167,10740,10740
280,Anajngaon Surji,sorgum(jawar),1531,1586,1586
281,Anajngaon Surji,soybean,3257,3825,3825
282,Anajngaon Surji,sunflower,2961,3100,3100
283,Anajngaon Surji,wheat(husked),1618,1800,1800
284,Arjuni Morgaon,paddy-unhusked,2005,2125,2125
285,Armori-Desaiganj,chillies(red),12700,15600,15600
286,Armori-Desaiganj,paddy-unhusked,1953,1796,1796
287,Armori,ground nut pods (dry),0,4504,4504
288,Armori,paddy-unhusked,2109,1844,1844
289,Arvi,cotton,4113,4626,4626
290,Arvi,gram,0,4340,4340
291,Arvi,pigeon pea (tur),0,8214,8214
292,Arvi,soybean,3445,3968,3968
293,Ashti (Jalna),bajri,0,1530,1530
294,Ashti (Jalna),sorgum(jawar),0,1755,1755
295,Ashti (Wardha),cotton,0,4643,4643
296,Ashti-Karanja,gram,0,4800,4800
297,Ashti-Karanja,pigeon pea (tur),0,8128,8128
298,Ashti-Karanja,soybean,0,3706,3706
299,Ashti-Karanja,wheat(husked),0,1622,1622
300,Atpadi,bajri,1900,0,0
301,Atpadi,maize,0,1600,1600
302,Atpadi,pomegranate,7250,7155,7155
303,Atpadi,sorgum(jawar),2100,2100,2100
304,Aurad Shahajani,gram,0,4614,4614
305,Aurad Shahajani,pigeon pea (tur),0,9591,9591
306,Aurad Shahajani,soybean,0,3587,3587
307,Aurangabad,apple,8800,8500,8500
308,Aurangabad,awala,1163,1800,1800
309,Aurangabad,banana,745,650,650
310,Aurangabad,bitter gourd,3280,3900,3900
311,Aurangabad,bor,2476,2195,2195
312,Aurangabad,bottle gourd,904,895,895
313,Aurangabad,brinjal,2136,2128,2128
314,Aurangabad,cabbage,924,1025,1025
315,Aurangabad,capsicum,3120,3070,3070
316,Aurangabad,carrot,1900,2500,2500
317,Aurangabad,chavli (shenga ),3000,3250,3250
318,Aurangabad,chikoo,2225,2417,2417
319,Aurangabad,cluster bean,3545,4800,4800
320,Aurangabad,coriander  ,500,900,900
321,Aurangabad,cucumber,3030,1987,1987
322,Aurangabad,custard apple,6267,3450,3450
323,Aurangabad,fig,8200,9000,9000
324,Aurangabad,flower,2332,3315,3315
325,Aurangabad,garlic,4325,9930,9930
326,Aurangabad,ginger (fresh),4533,4844,4844
327,Aurangabad,grapes,3750,4664,4664
328,Aurangabad,green chilli,4058,4480,4480
329,Aurangabad,green-peas,3600,2884,2884
330,Aurangabad,ground nut pods (dry),0,9358,9358
331,Aurangabad,guava,1960,2033,2033
332,Aurangabad,kharbuj,2167,2500,2500
333,Aurangabad,ladies finger,2071,3500,3500
334,Aurangabad,lemon,4626,4655,4655
335,Aurangabad,maize(corn.),1000,1722,1722
336,Aurangabad,mango(raw),0,3771,3771
337,Aurangabad,mango,0,9000,9000
338,Aurangabad,math (bhaji),700,800,800
339,Aurangabad,melon,500,1000,1000
340,Aurangabad,mosambi,2542,8568,8568
341,Aurangabad,onion,1563,2700,2700
342,Aurangabad,orange,1977,2720,2720
343,Aurangabad,papai,1427,2000,2000
344,Aurangabad,pomegranate,5343,6027,6027
345,Aurangabad,potato,2552,1168,1168
346,Aurangabad,shevga,6250,5769,5769
347,Aurangabad,spinach,300,270,270
348,Aurangabad,sweet potato,2250,2500,2500
349,Aurangabad,tamarind,0,4750,4750
350,Aurangabad,tomato,1768,2813,2813
351,Aurangabad,wal bhaji,2450,3033,3033
352,Ausa,bajri,1769,1768,1768
353,Ausa,black gram,6006,8610,8610
354,Ausa,coriander (dry),9301,12001,12001
355,Ausa,gram,2872,4882,4882
356,Ausa,green gram,8203,8200,8200
357,Ausa,ground nut pods (dry),4051,5001,5001
358,Ausa,jaggery,2601,2176,2176
359,Ausa,maize,1391,1651,1651
360,Ausa,paddy-unhusked,1426,1000,1000
361,Ausa,pigeon pea (tur),5333,10290,10290
362,Ausa,safflower,2514,2853,2853
363,Ausa,sesamum,9453,9226,9226
364,Ausa,sorgum(jawar),1866,2845,2845
365,Ausa,soybean,3407,3917,3917
366,Ausa,sunflower,3170,3662,3662
367,Ausa,tamarind,0,4837,4837
368,Ausa,wheat(husked),0,3141,3141
369,Babhulgaon,gram,2530,4350,4350
370,Babhulgaon,pigeon pea (tur),4992,9951,9951
371,Babhulgaon,soybean,3360,3811,3811
372,Balapur,black gram,0,10800,10800
373,Balapur,gram,0,4600,4600
374,Balapur,green gram,0,9275,9275
375,Balapur,pigeon pea (tur),0,10333,10333
376,Balapur,sorgum(jawar),0,1675,1675
377,Balapur,soybean,0,3781,3781
378,Balapur,wheat(husked),0,1850,1850
379,Baramati,bajri,1854,2063,2063
380,Baramati,gram,2801,5163,5163
381,Baramati,ground nut pods (dry),3730,6043,6043
382,Baramati,jaggery,3335,2754,2754
383,Baramati,maize,1485,1791,1791
384,Baramati,onion,2100,5305,5305
385,Baramati,pigeon pea (tur),0,7860,7860
386,Baramati,sorgum(jawar),2392,2532,2532
387,Baramati,soybean,3316,3774,3774
388,Baramati,sunflower,3486,3701,3701
389,Baramati,wheat(husked),2006,2375,2375
390,Baramati,wheat(unhusked),0,0,0
391,Barshi Takli,cotton,0,4300,4300
392,Barshi-Vairag,black gram,5192,11900,11900
393,Barshi-Vairag,gram,2650,4576,4576
394,Barshi-Vairag,green gram,6365,8800,8800
395,Barshi-Vairag,ground nut pods (dry),3919,5030,5030
396,Barshi-Vairag,maize,1414,1596,1596
397,Barshi-Vairag,pigeon pea (tur),4930,9262,9262
398,Barshi-Vairag,safflower,2331,0,0
399,Barshi-Vairag,sorgum(jawar),2676,2518,2518
400,Barshi-Vairag,soybean,3344,3848,3848
401,Barshi-Vairag,sunflower,2980,3175,3175
402,Barshi-Vairag,wheat(husked),2102,2462,2462
403,Barshi,bajri,1750,1729,1729
404,Barshi,bitter gourd,373,500,500
405,Barshi,black gram,6276,11505,11505
406,Barshi,bor,192,185,185
407,Barshi,brinjal,383,269,269
408,Barshi,cabbage,76,113,113
409,Barshi,capsicum,231,1392,1392
410,Barshi,castor seed,3400,3625,3625
411,Barshi,chikoo,253,300,300
412,Barshi,cluster bean,450,500,500
413,Barshi,coriander  ,800,2000,2000
414,Barshi,coriander (dry),10451,10100,10100
415,Barshi,cucumber,146,131,131
416,Barshi,flower,102,196,196
417,Barshi,fodder,677,842,842
418,Barshi,ghevda,350,185,185
419,Barshi,gram,3169,4814,4814
420,Barshi,grapes,0,300,300
421,Barshi,green chilli,297,396,396
422,Barshi,green gram,7573,8241,8241
423,Barshi,ground nut pods (dry),3881,5490,5490
424,Barshi,jaggery,2341,2350,2350
425,Barshi,kanda pat,433,867,867
426,Barshi,kharbuj,120,218,218
427,Barshi,ladies finger,296,352,352
428,Barshi,lemon,342,578,578
429,Barshi,maize,1370,1607,1607
430,Barshi,mango,0,700,700
431,Barshi,matki,6500,6000,6000
432,Barshi,methi (bhaji),700,1500,1500
433,Barshi,mosambi,800,600,600
434,Barshi,onion,1776,3046,3046
435,Barshi,other cereals,3300,2800,2800
436,Barshi,other pulses,2957,3600,3600
437,Barshi,paddy-unhusked,1663,1614,1614
438,Barshi,pigeon pea (tur),5237,9768,9768
439,Barshi,pomegranate,783,600,600
440,Barshi,ridge gourd,258,350,350
441,Barshi,safflower,0,2775,2775
442,Barshi,sesamum,10500,11000,11000
443,Barshi,shepu,500,900,900
444,Barshi,shevga,800,500,500
445,Barshi,sorgum(jawar),2875,2685,2685
446,Barshi,soybean,3350,3300,3300
447,Barshi,spinach,450,600,600
448,Barshi,squash gourd,0,229,229
449,Barshi,sunflower,3167,3611,3611
450,Barshi,tamarind seed,0,1787,1787
451,Barshi,tamarind,7139,6522,6522
452,Barshi,tomato,143,158,158
453,Barshi,turmeric,5867,9926,9926
454,Barshi,water melon,150,200,200
455,Barshi,wheat(husked),1756,2443,2443
456,Barshi,wheat(unhusked),2663,3000,3000
457,Basmat,cotton,4050,4338,4338
458,Basmat,gram,7980,5000,5000
459,Basmat,green gram,6610,8271,8271
460,Basmat,ground nut pods (dry),4434,5628,5628
461,Basmat,pigeon pea (tur),0,7978,7978
462,Basmat,soybean,3345,3915,3915
463,Basmat,turmeric,9158,10917,10917
464,Basmat,wheat(husked),1500,1720,1720
465,Beed,bajri,1693,1813,1813
466,Beed,black gram,5249,10951,10951
467,Beed,gram,2324,4930,4930
468,Beed,green gram,7743,8750,8750
469,Beed,maize,1500,1458,1458
470,Beed,pigeon pea (tur),4997,9075,9075
471,Beed,sesamum,11748,10668,10668
472,Beed,sorgum(jawar),2670,2653,2653
473,Beed,soybean,3337,3899,3899
474,Beed,wheat(husked),1858,2464,2464
475,Bhandara,coriander (dry),0,0,0
476,Bhandara,gram,2738,5494,5494
477,Bhandara,green gram,5670,4567,4567
478,Bhandara,indian bean,0,2000,2000
479,Bhandara,linseed,0,4000,4000
480,Bhandara,other cereals,0,3850,3850
481,Bhandara,pigeon pea (tur),0,8600,8600
482,Bhandara,rice(paddy-hus),3697,2852,2852
483,Bhandara,soybean,3650,3288,3288
484,Bhandara,wheat(husked),1587,1742,1742
485,Bhivandi,male goat,3500,3500,3500
486,Bhivandi,onion,2519,2800,2800
487,Bhivandi,other vegetables,2075,1935,1935
488,Bhivandi,potato,2030,2014,2014
489,Bhivandi,rice(paddy-hus),2496,2923,2923
490,Bhivandi,wheat(husked),2145,2324,2324
491,Bhiwapur,chillies(red),8000,9750,9750
492,Bhiwapur,cotton,4111,4287,4287
493,Bhiwapur,gram,0,4190,4190
494,Bhiwapur,green chilli,1735,2206,2206
495,Bhiwapur,green gram,0,6400,6400
496,Bhiwapur,paddy-unhusked,2868,2332,2332
497,Bhiwapur,pigeon pea (tur),0,7000,7000
498,Bhiwapur,soybean,3332,4017,4017
499,Bhiwapur,wheat(husked),1460,1400,1400
500,Bhokardan-Pimpalgaon Renu,bajri,0,1378,1378
501,Bhokardan-Pimpalgaon Renu,gram,3100,3763,3763
502,Bhokardan-Pimpalgaon Renu,green gram,0,8000,8000
503,Bhokardan-Pimpalgaon Renu,maize,1337,1408,1408
504,Bhokardan-Pimpalgaon Renu,sorgum(jawar),1269,1350,1350
505,Bhokardan-Pimpalgaon Renu,soybean,3263,3650,3650
506,Bhokardan-Pimpalgaon Renu,wheat(husked),1560,1651,1651
507,Bhokardan,bajri,0,1357,1357
508,Bhokardan,cotton,4050,4290,4290
509,Bhokardan,gram,0,3850,3850
510,Bhokardan,green gram,0,8000,8000
511,Bhokardan,maize,1333,1380,1380
512,Bhokardan,pigeon pea (tur),0,5000,5000
513,Bhokardan,sorgum(jawar),1241,2574,2574
514,Bhokardan,soybean,3238,3675,3675
515,Bhokardan,wheat(husked),1560,1651,1651
516,Bhokar,black gram,5075,10258,10258
517,Bhokar,cotton,3989,4537,4537
518,Bhokar,gram,3627,4429,4429
519,Bhokar,green gram,6504,8260,8260
520,Bhokar,ground nut pods (dry),3600,5100,5100
521,Bhokar,maize,0,1450,1450
522,Bhokar,pigeon pea (tur),4711,8755,8755
523,Bhokar,rice(paddy-hus),0,1725,1725
524,Bhokar,sesamum,9328,8521,8521
525,Bhokar,sorgum(jawar),1580,1600,1600
526,Bhokar,soybean,3586,3820,3820
527,Bhokar,sunflower,0,3250,3250
528,Bhokar,turmeric,5565,8935,8935
529,Bhokar,wheat(husked),1517,1751,1751
530,Bhusaval,bajri,1317,1300,1300
531,Bhusaval,black gram,4950,10250,10250
532,Bhusaval,gram,2954,4000,4000
533,Bhusaval,green gram,5090,7600,7600
534,Bhusaval,maize,1100,1250,1250
535,Bhusaval,pigeon pea (tur),0,4300,4300
536,Bhusaval,sorgum(jawar),1385,1421,1421
537,Bhusaval,wheat(husked),1381,1472,1472
538,Bori Arab,soybean,3235,3553,3553
539,Brahmpuri,paddy-unhusked,2315,6059,6059
540,Buldhana-Dhad,maize,0,1500,1500
541,Buldhana-Dhad,soybean,0,3619,3619
542,Buldhana,black gram,0,8575,8575
543,Buldhana,gram,2571,4775,4775
544,Buldhana,green gram,7000,8200,8200
545,Buldhana,maize,0,1500,1500
546,Buldhana,pigeon pea (tur),0,9000,9000
547,Buldhana,sorgum(jawar),1800,1850,1850
548,Buldhana,soybean,3328,3725,3725
549,Buldhana,wheat(husked),2000,1985,1985
550,Chakur,gram,0,4049,4049
551,Chakur,pigeon pea (tur),0,8767,8767
552,Chakur,sorgum(jawar),0,0,0
553,Chakur,soybean,0,3751,3751
554,Chalisgaon,bajri,1379,1581,1581
555,Chalisgaon,black gram,4892,8685,8685
556,Chalisgaon,castor seed,3300,0,0
557,Chalisgaon,gram,2667,4945,4945
558,Chalisgaon,green gram,6967,7775,7775
559,Chalisgaon,ground nut pods (dry),4225,5235,5235
560,Chalisgaon,maize,1295,1506,1506
561,Chalisgaon,matki,0,8000,8000
562,Chalisgaon,onion,0,0,0
563,Chalisgaon,pigeon pea (tur),4200,7517,7517
564,Chalisgaon,sorgum(jawar),1492,2222,2222
565,Chalisgaon,soybean,3217,3406,3406
566,Chalisgaon,sunflower,2983,3108,3108
567,Chalisgaon,wheat(husked),1708,1863,1863
568,Chamorshi,paddy-unhusked,1929,2664,2664
569,Chandrapur-Ganjwad,bitter gourd,2000,2100,2100
570,Chandrapur-Ganjwad,brinjal,1377,1111,1111
571,Chandrapur-Ganjwad,cabbage,1091,900,900
572,Chandrapur-Ganjwad,capsicum,2640,2600,2600
573,Chandrapur-Ganjwad,carrot,1936,1257,1257
574,Chandrapur-Ganjwad,chavli (pala),1778,1300,1300
575,Chandrapur-Ganjwad,chavli (shenga ),2000,1600,1600
576,Chandrapur-Ganjwad,coriander  ,3892,4300,4300
577,Chandrapur-Ganjwad,cucumber,0,0,0
578,Chandrapur-Ganjwad,dhemse,0,1800,1800
579,Chandrapur-Ganjwad,flower,1215,1509,1509
580,Chandrapur-Ganjwad,garlic,7400,17556,17556
581,Chandrapur-Ganjwad,green chilli,0,0,0
582,Chandrapur-Ganjwad,ladies finger,1900,2400,2400
583,Chandrapur-Ganjwad,math (bhaji),2960,1700,1700
584,Chandrapur-Ganjwad,onion,2200,2665,2665
585,Chandrapur-Ganjwad,potato,2700,1860,1860
586,Chandrapur-Ganjwad,pumpkin,1180,1133,1133
587,Chandrapur-Ganjwad,raddish,1423,1500,1500
588,Chandrapur-Ganjwad,small gourd,1343,900,900
589,Chandrapur-Ganjwad,spinach,1469,2000,2000
590,Chandrapur-Ganjwad,tomato,1367,2177,2177
591,Chandrapur-Ganjwad,wal bhaji,3419,1917,1917
592,Chandrapur,apple,8726,8500,8500
593,Chandrapur,awala,1820,2000,2000
594,Chandrapur,banana,2025,1742,1742
595,Chandrapur,chikoo,2970,3100,3100
596,Chandrapur,gram,2638,4285,4285
597,Chandrapur,grapes,0,6278,6278
598,Chandrapur,green gram,5800,6458,6458
599,Chandrapur,kharbuj,0,2000,2000
600,Chandrapur,mango,0,3800,3800
601,Chandrapur,mosambi,2982,3250,3250
602,Chandrapur,papai,2013,2050,2050
